title	link	date	abstract	author	surtitle	source
Luftangriffe im Jemen lasten auf Aktienkursen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD3N201503274536217	2015-03-27	"Eine Militäraktion unter Führung Saudi-Arabiens im benachbarten Jemen hat zu einem kräftigen Ölpreisanstieg geführt. An den Aktienmärkten ging ...
         ..Eine Militäraktion unter Führung Saudi-Arabiens im benachbarten Jemen hat zu einem kräftigen Ölpreisanstieg geführt...  ..Nordseeöl der Sorte Brent verteuerte sich aufgrund der Eskalation im Jemen in der Spitze um 5,8 Prozent auf 59,78 Dollar.."		Internationale Finanzmärkte	FAZ
Luftangriffe auf Houthi-Rebellen - Hadi in Saudi-Arabien	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20150327_3508945	2015-03-27	"Die von Saudi-Arabien angeführte Militärkoalition hat abermals Luftangriffe gegen die schiitischen Houthi-Rebellen im Jemen geflogen. Den zweiten ...
         ..Die von Saudi-Arabien angeführte Militärkoalition hat abermals Luftangriffe gegen die schiitischen Houthi-Rebellen im Jemen..  ..Seit dem Beginn der saudischen Luftangriffe am Donnerstag sind im Jemen mindestens 39 Zivilisten getötet worden...  ..Indien schickte unterdessen Schiffe, um tausende im Jemen festsitzende indische Gastarbeiter in Sicherheit zu bringen..."		Krieg im Jemen	FAZ
Saudi-Arabien fliegt Luftangriffe im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FR1201503274537048	2015-03-27	"mrb. KAIRO, 26. März. Saudi-Arabien hat unter Beteiligung verschiedener arabischer Verbündeter mit Luftangriffen im Jemen begonnen. Kampfflugzeuge ...
         ..Saudi-Arabien hat unter Beteiligung verschiedener arabischer Verbündeter mit Luftangriffen im Jemen begonnen...  ..Nun werde über dem Jemen eine ""breite Flugverbotszone"" eingerichtet...  ..Mogherini erklärte in Brüssel, ein solcher Einsatz werde die Krise im Jemen nicht lösen..."		Breite arabische Koalition / Ägypten verlegt Kriegsschiffe / Scharfe Kritik Irans	FAZ
Iran kritisiert Luftschläge gegen Houthis	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20150326_3506558	2015-03-26	"Die iranische Regierung hat die saudisch geführte Militäroffensive im Jemen scharf kritisiert. Eine Sprecherin des Außenministeriums nannte ...
         ..Die iranische Regierung hat die saudisch geführte Militäroffensive im Jemen scharf kritisiert...  ..eine friedliche Lösung der internen Streitigkeiten im Jemen zerstören""...  ..Die saudi-arabische Luftwaffe habe nun die Lufthoheit über den Jemen, berichtete der Sender Al Arabija..."		Jemen	FAZ
Jemen-Konflikt lässt Ölpreis stark steigen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20150326_3506963	2015-03-26	"Die Ölpreise steigen am Donnerstag den zweiten Tag in Folge deutlich. Am Morgen kostet ein Barrel (etwa 159 Liter) der Nordseesorte Brent zur ...
         ..Grund des starken Anstiegs ist der Konflikt in der Golfregion zwischen den schiitischen Huthi-Rebellen im Jemen und einer..  ..Die Eskalation des Konflikts im Jemen trübt auch die Stimmung an Aktienbörsen...  ..Bereits die amerikanischen Börsen litten unter der Unsicherheit um eine mögliche Eskalation der Lage im Jemen..."		Marktbericht	FAZ
Jemen belastet Dax am Ende nur leicht	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20150326_3508234	2015-03-26	"Die Eskalation des Konflikts im Jemen hat den deutschen Aktienmarkt am Donnerstag weiter ins Minus gedrückt. Der Dax reduzierte seine anfänglich ...
         ..Die Eskalation des Konflikts im Jemen hat den deutschen Aktienmarkt am Donnerstag weiter ins Minus gedrückt..."		Marktbericht	FAZ
Konflikt im Jemen dreht den Ölmarkt	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20150326_3507955	2015-03-26	"Die Zuspitzung der Krise im Jemen hat die Ölpreise am Donnerstag deutlich steigen lassen. Im frühen Handel stieg der Preis der Nordseesorte ...
         ..Die Zuspitzung der Krise im Jemen hat die Ölpreise am Donnerstag deutlich steigen lassen...  ..Länder Kuweit, Qatar und die Vereinigten Arabischen Emirate gehören, hatte Stellungen der schiitischen Houthi-Rebellen im Jemen..  ..Zwar ist die Ölförderung im Jemen mit nur noch 100000 Barrel pro Tag schon seit mehreren Jahren recht gering..."	Judith Lembke	Ölpreis	FAZ
Toxisches Gemisch im Armenhaus Arabiens	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20150326_3507741	2015-03-26	"Solange sich im Jemen die vier großen Konflikte der Region nicht miteinander vermischt hatten, war jeder einzelne von ihnen keine existentielle ...
         ..Erst seitdem sie ineinander verschmelzen, ist der Verfall des Jemen kaum mehr aufzuhalten...  ..Zaiditen hatten bis zum Jahr 1962 ein Jahrtausend lang den Jemen regiert...  ..So konnte Al Qaida im Jemen mafiöse Strukturen aufbauen: Der Jemen wurde Transitland für afghanisches Heroin, aus Somalia.."	Rainer Hermann	Bürgerkrieg im Jemen	FAZ
Jemens Regierung meldet Kampferfolg	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD1201508064645533	2015-08-06	"ADEN, 5. August (AFP). Regierungstreue Truppen haben im Jemen einen wichtigen Militärstützpunkt unter ihre Kontrolle gebracht. Mit Unterstützung ...
         ..Regierungstreue Truppen haben im Jemen einen wichtigen Militärstützpunkt unter ihre Kontrolle gebracht..."			FAZ
Mehr als 140 Tote bei Luftschlag im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD1N201507274638211	2015-07-27	"SANAA, 26. Juli (AFP/dpa). Vor Beginn einer einseitig verkündeten Feuerpause hat ein von Saudi-Arabien geführtes Militärbündnis die bislang ...
         ..Feuerpause hat ein von Saudi-Arabien geführtes Militärbündnis die bislang tödlichsten Luftangriffe auf das Nachbarland Jemen.."			FAZ
Mehr als 140 Tote bei schwerem Luftangriff im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20150726_3720920	2015-07-26	"Bei dem bislang schwersten Luftangriff eines von Saudi-Arabien geführten Militärbündnisses sind im Jemen mehr als 140 Personen getötet worden. ...
         ..Bei dem bislang schwersten Luftangriff eines von Saudi-Arabien geführten Militärbündnisses sind im Jemen mehr als 140 Personen..  ..Im Jemen kämpfen seit mehreren Monaten schiitische Huthi-Rebellen mit ihren Verbündeten gegen Anhänger des sunnitischen Exilpräsidenten.."		Trotz Waffenruhe	FAZ
Jemens Exilregierung zurück	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD2201507204632654_4	2015-07-20	"Erste Angehörige der jemenitischen Exilregierung sind am Wochenende in die Hafenstadt Aden zurückgekehrt. Der im März nach Saudi-Arabien geflohene ...
         ..Der im März nach Saudi-Arabien geflohene Innenminister Abdo al Huzeifi und Verkehrsminister Badr Basalma seien in den Jemen.."		Wichtiges in Kürze	FAZ
Hafen von Aden zurückerobert	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD2201507164630102	2015-07-16	"mrb. KAIRO, 15. Juli. Jemenitischen Regierungstruppen ist es am Mittwoch nach Angaben von Bewohnern gelungen, den Hafen der südjemenitischen ...
         ..Eigentlich gilt im Jemen bis zum Ende des Fastenmonats Ramadan am Freitag eine Feuerpause...  ..Anfang Juli hatten die UN für den Jemen die höchste Nothilfestufe drei ausgerufen...  ..Im Jemen ist eine viertel Million Menschen auf der Flucht..."		Jemenitische Regierungstruppen dringen weiter vor	FAZ
Waffenruhe im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD3201507104625758_4	2015-07-10	"Nach monatelangem Bürgerkrieg haben sich die Konfliktparteien im Jemen auf eine Feuerpause geeinigt. Die ""humanitäre Waffenruhe"" solle an diesem ...
         ..Nach monatelangem Bürgerkrieg haben sich die Konfliktparteien im Jemen auf eine Feuerpause geeinigt...  ..Im Jemen gibt es seit Monaten schwere Kämpfe zwischen Houthi-Milizen und ihren Verbündeten auf der einen und Regierungstruppen.."		Wichtiges in Kürze	FAZ
UN kündigen Feuerpause im Jemen an	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20150709_3694831	2015-07-09	"Im Jemen soll ab diesem Freitag eine humanitäre Feuerpause gelten. Das teilte die Vereinten Nationen am Donnerstagabend in New York mit. Die ...
         ..Im Jemen soll ab diesem Freitag eine humanitäre Feuerpause gelten...  ..Sie soll Gelegenheit schaffen, um die Bevölkerung des Jemen mit dringend benötigten Nahrungsmitteln und Medikamenten zu versorgen..  ..Im Jemen liefern sich Huthi-Milizen und ihre Verbündeten auf der einen und Regierungstruppen auf der anderen Seite seit Monaten.."		Naher Osten	FAZ
UN: Notstand im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD2201507034620873_5	2015-07-03	"Die Vereinten Nationen haben für den Jemen den humanitären Notstand ausgerufen. UN-Sprecher Farhan Haq erklärte am Mittwoch nach einem Treffen ...
         ..Die Vereinten Nationen haben für den Jemen den humanitären Notstand ausgerufen...  ..mit Hilfsorganisationen, alle Beteiligten seien sich einig gewesen, Stufe drei hinsichtlich der humanitären Lage für den Jemen..  ..Das ist die höchstmögliche Krisenstufe, damit steht der Jemen in einer Reihe mit nur drei weiteren Ländern der Erde - Irak.."		Wichtiges in Kürze	FAZ
In den Abgrund	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD1201909095802819	2019-09-09	"BEIRUT, 8. September /  / Für den saudischen Kronprinzen Muhammad bin Salman, den Architekten des erfolgsarmen Feldzugs im Jemen, ist es ein Sommer ...
         ..September

Für den saudischen Kronprinzen Muhammad bin Salman, den Architekten des erfolgsarmen Feldzugs im Jemen, ist es..  ..Doch diesen Milizen geht es - wie auch den Emiraten - nicht unbedingt um einen geeinten Jemen...  ..Während Saudi-Arabien als Vermittler auftritt, hat es zugleich zusätzliche Truppen in den Jemen entsandt..."		Im Jemen befeuert der Konflikt zwischen Saudi-Arabien und den Emiraten den Krieg / Von Christoph Ehrhardt	FAZ
Mehr als 100 Tote im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD2201909025796508_4	2019-09-02	"Bei einem Luftangriff der von Saudi-Arabien geführten Militärkoalition auf ein Gefängnis im Jemen sind nach Angaben des Internationalen Komitees ...
         ..Bei einem Luftangriff der von Saudi-Arabien geführten Militärkoalition auf ein Gefängnis im Jemen sind nach Angaben des Internationalen.."		Wichtiges in Kürze	FAZ
Berlin stockt Hilfe für den Jemen auf	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD1201908135779480	2019-08-13	"Lt./cmei. BERLIN/FRANKFURT, 12. August. Die Bundesregierung hat ihr Budget für humanitäre Hilfe im Jemen auf 120 Millionen Euro im laufenden ...
         ..Die Bundesregierung hat ihr Budget für humanitäre Hilfe im Jemen auf 120 Millionen Euro im laufenden Jahr erhöht und liefert.."			FAZ
Ein Krieg mit vielen Akteuren	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20190811_6328577	2019-08-11	"Im Jemen bekämpfen sich in einer neuen Runde der Gewalt zwei Akteure, die 2015 angetreten waren, den Vormarsch der proiranischen Houthi-Rebellen ...
         ..Im Jemen bekämpfen sich in einer neuen Runde der Gewalt zwei Akteure, die 2015 angetreten waren, den Vormarsch der proiranischen..  ..Juli den Rückzug ihrer Truppen und schweren Waffen aus dem Jemen ankündigten...  ..Seither arbeitet Zubaidi zielstrebig an der Unabhängigkeit vom restlichen Jemen..."	Rainer Hermann	Kämpfe im Jemen	FAZ
Zahlreiche Tote im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD3N201908035772902_4	2019-08-03	"Bei einem Angriff mutmaßlicher Al Qaida-Extremisten auf ein Militärlager im Süden des Bürgerkriegslandes Jemen sind Augenzeugen zufolge mindestens ...
         ..Bei einem Angriff mutmaßlicher Al Qaida-Extremisten auf ein Militärlager im Süden des Bürgerkriegslandes Jemen sind Augenzeugen.."		Wichtiges in Kürze	FAZ
Dutzende Polizisten bei Anschlag auf Kaserne getötet	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20190801_6312774	2019-08-01	"Im Jemen sind bei einem Raketenangriff auf eine Kaserne nahe der Hafenstadt Aden am Donnerstag dutzende Polizisten getötet oder verletzt worden. ...
         ..Im Jemen sind bei einem Raketenangriff auf eine Kaserne nahe der Hafenstadt Aden am Donnerstag dutzende Polizisten getötet..  ..Im Jemen herrscht seit 2015 Krieg zwischen den von Saudi-Arabien und anderen arabischen Staaten unterstützten Truppen von.."		Raketenangriff im Jemen	FAZ
Emirate schießen Raketen aus Jemen ab	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20220124_7747984	2022-01-24	"Rund eine Woche nach dem Drohnen-Angriff auf die Vereinigten Arabischen Emirate haben die Huthi offenbar abermals eine Militäroperation gegen ...
         ..Die Vereinigten Arabischen Emirate haben laut eigenen Angaben zwei aus dem Jemen abgefeuerte Raketen zerstört...  ..Der Sprecher der Huthi-Rebellen im Jemen, Mohammed Abulsalam erklärte auf Twitter, dass die Miliz ""in den nächsten Stunden..  ..Im Jemen herrscht seit 2015 Krieg zwischen den von Saudi-Arabien, den Vereinigten Arabischen Emiraten und anderen arabischen.."		Huthi-Angriff	FAZ
Streit um Verantwortung für Angriff im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20220122_7745699	2022-01-22	"Ein Gefängnis in der Provinz Saada sei nicht wissentlich bombardiert worden, sagt das von Saudi-Arabien geführte Militär-Bündnis. Das Ziel habe ...
         ..Das von Saudi-Arabien geführte Militär-Bündnis gegen Huthi-Rebellen im Jemen hat Berichte über einen wissentlichen Angriff..  ..Sein Sprecher erklärte, es seien auch noch weitere Luftangriffe aus anderen Teilen des Jemen gemeldet worden, bei denen auch..  ..Im Jemen tobt seit Jahren ein Stellvertreterkrieg zwischen den Regionalmächten des sunnitisch geprägten Saudi-Arabien und.."		60 Tote	FAZ
Die Holzfäller aus der Wüste	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20220114_7726623	2022-01-14	"In einem Land, gebeutelt von Krieg, ist ein Rohstoff wieder besonders gefragt: Feuerholz. Der Fotograf Khaled Abdullah hat jemenitische Holzfäller ...
         ..Sein Heimatland Jemen steckt in einer humanitären Krise, weshalb Ali angefangen hat, Bäume zu fällen...  ..Jemen besitzt ohnehin schon wenige Waldgebiete..."		Energieknappheit im Jemen	FAZ
Das Ende des Huthi-Vormarsches	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20220113_7728288	2022-01-13	"Im Jemen werden die Huthi-Rebellen zurückgedrängt. Saudi-Arabien und die Emirate arbeiten im Kampf gegen die Aufständischen wieder enger zusammen. ...
         ..Triumphierende Kämpfer ihrer Gegner dominierten in den vergangenen Tagen die Bilder aus dem Jemen...  ..sich offenbar die Haltung in der internationalen Jemen-Diplomatie...  ..Und weil sie nicht für das Projekt eines geeinten Jemen zu haben sind..."	Christoph Ehrhardt	Krieg im Jemen	FAZ
Im Jemen wendet sich das Blatt	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD3N2022011350001184459140	2022-01-13	"Lange konnten die Houthi-Rebellen Geländegewinn nach Geländegewinn feiern. Nun müssen sie sich wieder in einer unangenehmen Disziplin üben: ...
         ..Triumphierende Kämpfer ihrer Gegner dominierten in den vergangenen Tagen die Bilder aus dem Jemen...  ..sich offenbar die Haltung in der internationalen Jemen-Diplomatie...  ..Und weil sie nicht für das Projekt eines geeinten Jemen zu haben sind..."		Die Houthi-Rebellen geraten in die Defensive, weil Riad und Abu Dhabi wieder enger zusammenwirken / Von Christoph Ehrhardt, Abu Dhabi	FAZ
Mindestens fünf Tote bei Angriffen in Saudi-Arabien und im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20211225_7701238	2021-12-25	"Bei Luftangriffen zwischen Saudi-Arabien und den Huthi-Rebellen im Jemen sind mehrere Menschen ums Leben gekommen, darunter auch eine Frau und ...
         ..Im Jemen-Konflikt hat es am Freitag mindestens fünf Tote gegeben...  ..Die saudi-arabischen Behörden machten die Huthi-Rebellen aus dem Jemen für den Beschuss verantwortlich...  ..Im Jemen herrscht seit 2015 Krieg zwischen den von Saudi-Arabien und anderen Staaten unterstützten Truppen von Präsident.."		Krieg seit 2015	FAZ
Wer hilft den Hungernden?	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20211223_7697226	2021-12-23	"Die Vereinten Nationen bitten um Spenden für Verhungernde im Jemen. Die Helfer sollten einmal in Riad anrufen. Den Krieg lässt sich Saudi-Arabien ...
         ..Im Bürgerkriegsland Jemen droht mehreren Millionen Menschen akut der Hungertod...  ..beenden will keine der Kriegsparteien

Angesichts des Stellvertreterkrieges, den Saudi-Arabien und Iran im und gegen den Jemen..  ..allererst einmal in Riad anzurufen und nachzufragen, ob dort nicht vielleicht noch ein paar Dollar für die Menschen im Jemen.."	Peter Sturm	Jemen	FAZ
UN müssen Essensrationen für Jemen kürzen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD12021122350001124982029_3	2021-12-23	"Großer Geldmangel zwingt das Welternährungsprogramm der UN zur Kürzung seiner Lebensmittelhilfe für hungernde Menschen im Jemen. Die Rationen ...
         ..Großer Geldmangel zwingt das Welternährungsprogramm der UN zur Kürzung seiner Lebensmittelhilfe für hungernde Menschen im Jemen..  ..Laut WFP leidet mehr als die Hälfte der Bevölkerung im Jemen unter akutem Hunger. (Kommentar Seite 8.) epd.."		Wichtiges in Kürze	FAZ
Separatisten im Jemen widerrufen Autonomie-Erklärung	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20200729_6880879	2020-07-29	"Die Separatisten im Jemen haben ihre Ausrufung der Autonomie im Süden des Bürgerkriegslandes zurückgezogen. Stattdessen streben sie nun die ...
         ..Die Separatisten im Jemen haben ihre Ausrufung der Autonomie im Süden des Bürgerkriegslandes zurückgezogen..."		Streben nach Frieden	FAZ
Jemenitische Regierung und Separatisten wollen sich arrangieren	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20200729_6881197	2020-07-29	"Es ist schon etwas her, dass Saudi-Arabien Erfolgsmeldungen über sein Jemen-Engagement verbreiten konnte. Am Mittwoch meldeten sich nun mehrere ...
         ..Es ist schon etwas her, dass Saudi-Arabien Erfolgsmeldungen über sein Jemen-Engagement verbreiten konnte...  ..Seine Zuversicht steht allerdings in klarem Gegensatz zu den Erfahrungswerten internationaler Vermittlungsbemühungen im Jemen.."	Christoph Ehrhardt	Nach Abkommen von Riad	FAZ
Corona verschärft Hunger im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD1202007236048423_7	2020-07-23	"Die Corona-Krise verschlimmert die ohnehin katastrophale Versorgungslage im Jemen. Bis Jahresende werde die Zahl der Hungernden im Süden des ...
         ..Die Corona-Krise verschlimmert die ohnehin katastrophale Versorgungslage im Jemen...  ..Im gesamten Jemen wurden bislang mehr als 1600 Corona-Infektionen und 456 Todesfälle bekannt..."		Wichtiges in Kürze	FAZ
Viele Tote im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD1N201712275317422_5	2017-12-27	"Bei einem abermaligen schweren Luftangriff der von Saudi-Arabien geführten Militärkoalition auf einen Marktplatz im Jemen sind mindestens 15 ...
         ..Bei einem abermaligen schweren Luftangriff der von Saudi-Arabien geführten Militärkoalition auf einen Marktplatz im Jemen..  ..Im Jemen kämpfen die Truppen des nach Saudi-Arabien geflohenen sunnitischen Präsidenten Abd Rabbo Mansur Hadi gegen die von.."		Wichtiges in Kürze	FAZ
Der Krieg im Jemen ist auch unser Krieg	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD1201712235315045	2017-12-23	"Die Vereinten Nationen warnen: Sieben Millionen Menschen im Jemen sind von einer Hungersnot bedroht. 130 Kinder sterben täglich an den Folgen ...
         ..Mehr als tausend Tage leidet der Jemen nun schon unter einem brutalen Krieg...  ..Deutschland ist dem Jemen auf vielfache Weise eng verbunden...  ..Der Jemen erhält dieses Jahr 165 Millionen Euro aus Deutschland..."		Fremde Federn: Katrin Göring-Eckardt	FAZ
Eine Million Cholera-Fälle im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD2201712225315840	2017-12-22	"GENF, 21. Dezember (dpa). Im Bürgerkriegsland Jemen haben sich in den vergangenen Monaten mehr als eine Million Menschen mit Cholera angesteckt. ...
         ..Im Bürgerkriegsland Jemen haben sich in den vergangenen Monaten mehr als eine Million Menschen mit Cholera angesteckt..."			FAZ
Jemenitischer Hafen geöffnet	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD2201712225315413_4	2017-12-22	"Die von Saudi-Arabien geführte Jemen-Koalition hat den jemenitischen Hafen Hudeidah am Roten Meer wieder für Hilfslieferungen geöffnet. Saudi- ...
         ..Die von Saudi-Arabien geführte Jemen-Koalition hat den jemenitischen Hafen Hudeidah am Roten Meer wieder für Hilfslieferungen..  ..Saudi-Arabien hatte nach dem Abschuss einer ballistischen Rakete aus dem Jemen, die im November nahe dem Flughafen von Riad.."		Wichtiges in Kürze	FAZ
Saudi-Arabien hat Ziele im Jemen bombardiert	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20171221_5352681	2017-12-21	"Nach dem vereitelten Raketenangriff auf Riad hat ein von Saudi-Arabien geführtes Bündnis die Houthi-Rebellen im Bürgerkriegsland Jemen bombardiert. ...
         ..vereitelten Raketenangriff auf Riad hat ein von Saudi-Arabien geführtes Bündnis die Houthi-Rebellen im Bürgerkriegsland Jemen..  ..In einem dreijährigen Bürgerkrieg im Jemen kämpfen Huthi-Rebellen gegen die international anerkannte Regierung des Landes.."		Mehrere Zivilisten getötet	FAZ
"""Viele unterschätzen, wie gefährlich Iran ist"""	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20171220_5351890	2017-12-20	"Herr Minister, am Dienstag ging zum zweiten Mal über Riad eine ballistische Rakete nieder, die die Houthi-Miliz im Jemen abgeschossen hat. Wie ...
         ..Herr Minister, am Dienstag ging zum zweiten Mal über Riad eine ballistische Rakete nieder, die die Houthi-Miliz im Jemen..  ..Der Jemen ist nur ein Aspekt des Konflikts zwischen Saudi-Arabien und Iran...  ..Iran finanziert damit militärische Operationen in Syrien, im Jemen, im Irak..."	Rainer Hermann	Bürgerkrieg im Jemen	FAZ
Raketenangriff auf Riad	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20171219_5349660	2017-12-19	"Saudi-Arabien hat offensichtlich abermals eine aus dem Jemen abgeschossene Rakete über seinem Staatsgebiet abgefangen. Unter Berufung auf Militärangaben ...
         ..Saudi-Arabien hat offensichtlich abermals eine aus dem Jemen abgeschossene Rakete über seinem Staatsgebiet abgefangen...  ..Der Beschuss erfolgte offenbar aus dem Nachbarland Jemen: Jemens schiitische Rebellen erklärten, der Angriff habe der offiziellen..  ..In einem dreijährigen Bürgerkrieg im Jemen kämpfen Huthi-Rebellen gegen die international anerkannte Regierung des Landes.."		Krieg im Jemen	FAZ
Gefahrenquelle Iran	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20171217_5346829	2017-12-17	"MANAMA/BEIRUT, 17 Dezember /  / Nikki Haley geizte nicht mit Dramatik, als sie in der vergangenen Woche vor Raketentrümmern die Gefahr erläuterte, ...
         ..amerikanische UN-Botschafterin präsentierte Teile eines Flugkörpers, den die von Teheran unterstützten Houthi-Rebellen im Jemen..  ..noch einige technische Fragezeichen, aber man kann annehmen, dass die Raketenteile aus Iran stammen"", sagt ein mit dem Jemen..  ..Das Königreich führt eine Militärkoalition an, welche die schiitischen Rebellen aus dem Norden des Jemen in einem ruinösen.."	Christoph Ehrhardt	Eskalation im Jemen	FAZ
Der Papst, die Emirate und der Krieg im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD3201902055629752_5	2019-02-05	"Der Londoner ""Guardian"" kommentiert den Besuch des Papstes in den Vereinigten Arabischen Emiraten: /  / ""Die Vereinigten Arabischen Emirate sind ...
         ..Arabischen Emirate sind eine enthusiastische und entscheidende Kraft in der von Saudi-Arabien geführten Militärkoalition im Jemen.."			FAZ
Neue Jemen-Gespräche über Gefangenenaustausch kommende Woche	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20190202_6021073	2019-02-02	"Im festgefahrenen Jemen-Konflikt werden sich die Konfliktparteien in der kommenden Woche zu neuen Gesprächen in Jordanien treffen. Das Land ...
         ..Im festgefahrenen Jemen-Konflikt werden sich die Konfliktparteien in der kommenden Woche zu neuen Gesprächen in Jordanien.."		In Jordanien	FAZ
Deutschlands neue Rolle	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD1201901215616840	2019-01-21	"BERLIN, 20. Januar /  / Seit Jahresbeginn ist Deutschland Mitglied im Sicherheitsrat der Vereinten Nationen, jenem Gremium, das als Institution ...
         ..Das Treffen zur Unterstützung der Friedensbemühungen im Jemen demonstrierte diesen Wandel...  ..Aus diesem Manko entstand die Idee des Berliner Jemen-Treffens...  ..Grande war vor ihrer UN-Funktion im Jemen im Irak als Aufbau-Koordinatorin der Vereinten Nationen tätig..."		Warum sich Berlin nun stärker im Jemen, in Syrien und Nordafrika engagiert / Von Johannes Leithäuser	FAZ
UN-Team im Jemen beschossen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD2201901185614675_4	2019-01-18	"Der Sondergesandte der Vereinten Nationen für den Jemen, Patrick Cammaert, ist nach Medienberichten zusammen mit seinem Team beschossen worden. ...
         ..Der Sondergesandte der Vereinten Nationen für den Jemen, Patrick Cammaert, ist nach Medienberichten zusammen mit seinem Team..  ..Im Jemen kämpft eine von Saudi-Arabien unterstützte Militärkoalition auf Seiten der international anerkannten Regierung gegen.."		Wichtiges in Kürze	FAZ
Hilfe für Friedensbemühungen im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD2201901175613442	2019-01-17	"Lt. BERLIN, 16. Januar. Deutschland will den Beginn eines Friedens- und Stabilisierungsprozesses im Jemen mit 4,5 Millionen Euro zusätzlich ...
         ..Deutschland will den Beginn eines Friedens- und Stabilisierungsprozesses im Jemen mit 4,5 Millionen Euro zusätzlich unterstützen..  ..Die Koordinatorin der Vereinten Nationen für Hungerhilfe und Stabilisierung im Jemen, Lise Grande, sagte am Mittwoch in Berlin..  ..Maas kündigte an, die Bundesregierung sei bereit, auf der Ende Februar geplanten allgemeinen Geberkonferenz für den Jemen.."		4,5 Millionen Euro zusätzlich aus Deutschland / Stabilisierungsfonds eingerichtet	FAZ
Deutschland unterstützt Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD2201901165611991_2	2019-01-16	"Das Auswärtige Amt richtet an diesem Mittwoch eine Konferenz zur Unterstützung des Friedensprozesses im Jemen aus. Bei dem Treffen von Diplomaten ...
         ..Das Auswärtige Amt richtet an diesem Mittwoch eine Konferenz zur Unterstützung des Friedensprozesses im Jemen aus...  ..Bei dem Treffen von Diplomaten im hohen Beamtenrang aus Unterstützungsländern für den Jemen soll erörtert werden, wie das..  ..Der Sondergesandte der UN für den Jemen Martin Griffiths und die ortsansässige UN-Koordinatorin Lise Grande nehmen daran.."		Wichtiges in Kürze	FAZ
Sechs Tote bei Drohnenangriff von Huthi-Rebellen auf Militärbasis	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20190110_5981943	2019-01-10	"Bei einem Drohnenangriff von Huthi-Rebellen auf eine Luftwaffenbasis der jemenitischen Armee sind am Donnerstag sechs regierungstreue Soldaten ...
         ..Im Jemen herrscht seit 2015 Krieg zwischen den von Saudi-Arabien und anderen arabischen Staaten unterstützten Truppen von..  ..Laut dem UN-Nothilfekoordinator Mark Lowcock müssen fast zehn Millionen Menschen im Jemen hungern.

AFP.."		Jemen	FAZ
